place_id,review_text,place_name,rating,actual_date,hours_ago,Grande Categorie,name,année,latitude,longitude,len_words,cleaned_text,has_insalubrite,has_insecurite,has_nuisance_sonore,Predicted_Class,Predicted_Probability
ChIJxaeGNnGE5kcRNtseod9PBfA,Le traiteur libanais trop bon 1 fois par mois Faudrais qu il soit souvent a Auchan,Auchan Supermarche Trappes,5,2024-04-28 09:01:16.406886,168,Commerce et Restauration,Auchan Supermarche Trappes,2024,1.974741,5869.5,82,traiteur libanais trop bon   mois faudrai être souvent auchan,False,False,False,Positive,0.9946973323822021
ChIJxaeGNnGE5kcRNtseod9PBfA,"Un supermarche bien achalande avec un bon relationnel. Jai fait un malaise et en plus des clients qui sont venus maider, je remercie particulierement le grand vigile qui mesure 2 metres qui est venu a ma rescousse, il est le meilleur",Auchan Supermarche Trappes,5,2024-04-28 09:01:16.406886,168,Commerce et Restauration,Auchan Supermarche Trappes,2024,1.974741,5869.5,233,"supermarche bien achaland bon relationnel . jai faire malaise plus client être venir maider , remercier particulieremer grand vigile mesure   metre être venir rescousse , être meilleur",False,False,False,Positive,0.9949305653572083
ChIJxaeGNnGE5kcRNtseod9PBfA,Impossible dacheter de lalcool le dimanche. Magnifique !!,Auchan Supermarche Trappes,1,2024-04-21 09:01:16.406886,336,Commerce et Restauration,Auchan Supermarche Trappes,2024,1.974741,5869.5,57,impossible dacheter lalcool dimanche . magnifique ! !,False,False,False,Negative,0.9731490612030029
ChIJxaeGNnGE5kcRNtseod9PBfA,Il manque un peu de vie perso je viens je prends ce que je suis venu chercher et je pars ya rien qui me donne envie de voir plus cest dommage,Auchan Supermarche Trappes,4,2024-04-21 09:01:16.406886,336,Commerce et Restauration,Auchan Supermarche Trappes,2024,1.974741,5869.5,141,manque peu vie perso venir prendre être venir chercher partir ya rien donne envie voir plus cest dommage,False,False,False,Negative,0.9712915420532227
ChIJxaeGNnGE5kcRNtseod9PBfA,"Tout est super, prix raisonnables",Auchan Supermarche Trappes,5,2024-04-21 09:01:16.406886,336,Commerce et Restauration,Auchan Supermarche Trappes,2024,1.974741,5869.5,33,"être super , prix raisonnable",False,False,False,Positive,0.9946053624153137
ChIJxaeGNnGE5kcRNtseod9PBfA,Il manquait vraiment un supermarche dans le coin. Produits sympa et varies,Auchan Supermarche Trappes,5,2024-04-21 09:01:16.406886,336,Commerce et Restauration,Auchan Supermarche Trappes,2024,1.974741,5869.5,74,manquer vraiment supermarche coin . produit sympa varie,False,False,False,Positive,0.9947966933250427
ChIJxaeGNnGE5kcRNtseod9PBfA,"Bien place, impeccable pour le repas du midi ou encore les courses en general.",Auchan Supermarche Trappes,4,2024-04-21 09:01:16.406886,336,Commerce et Restauration,Auchan Supermarche Trappes,2024,1.974741,5869.5,78,"bien place , impeccable repas midi course general .",False,False,False,Positive,0.9947985410690308
ChIJxaeGNnGE5kcRNtseod9PBfA,"Bon Auchan, quoi que relativement petit",Auchan Supermarche Trappes,3,2024-04-14 09:01:16.406886,504,Commerce et Restauration,Auchan Supermarche Trappes,2024,1.974741,5869.5,39,"bon auchan , quoi relativement petit",False,False,False,Positive,0.9936701059341431
ChIJxaeGNnGE5kcRNtseod9PBfA,Rien de particulier,Auchan Supermarche Trappes,5,2024-04-04 23:01:16.406886,730,Commerce et Restauration,Auchan Supermarche Trappes,2024,1.974741,5869.5,19,rien particulier,False,False,False,Positive,0.9937865734100342
ChIJxaeGNnGE5kcRNtseod9PBfA,Je note seulement le Carburant pas cher,Auchan Supermarche Trappes,5,2024-04-04 23:01:16.406886,730,Commerce et Restauration,Auchan Supermarche Trappes,2024,1.974741,5869.5,39,note seulement carburant pas cher,False,False,False,Positive,0.9945037364959717
